temperature,door_state,date
30.32144,open,18-05-2024 17:15:33
30.32144,open,18-05-2024 17:15:33
30.32144,open,18-05-2024 17:15:34
30.32144,open,18-05-2024 17:15:34
30.32144,open,18-05-2024 17:15:35
30.32144,open,18-05-2024 17:15:35
30.32144,open,18-05-2024 17:15:36
30.32144,open,18-05-2024 17:15:36
30.32144,open,18-05-2024 17:15:37
30.32144,open,18-05-2024 17:15:37
30.32144,open,18-05-2024 17:15:38
30.32144,open,18-05-2024 17:15:38
30.32144,open,18-05-2024 17:15:39
30.32144,open,18-05-2024 17:15:39
30.32144,open,18-05-2024 17:15:40
30.32144,open,18-05-2024 17:15:40
30.32144,open,18-05-2024 17:15:41
30.32144,open,18-05-2024 17:15:41
30.32144,open,18-05-2024 17:15:42
30.32144,open,18-05-2024 17:15:42
30.32144,open,18-05-2024 17:15:43
30.32144,open,18-05-2024 17:15:43
30.32144,open,18-05-2024 17:15:44
30.32144,open,18-05-2024 17:15:44
30.32144,open,18-05-2024 17:15:45
30.32144,open,18-05-2024 17:15:45
30.32144,open,18-05-2024 17:15:46
30.32144,open,18-05-2024 17:15:46
30.32144,open,18-05-2024 17:15:47
30.32144,open,18-05-2024 17:15:47
30.32144,open,18-05-2024 17:15:48
30.32144,open,18-05-2024 17:15:49
30.32144,open,18-05-2024 17:15:49
30.78955,open,18-05-2024 17:15:50
30.32144,open,18-05-2024 17:15:50
30.32144,open,18-05-2024 17:15:51
30.78955,open,18-05-2024 17:15:51
30.32144,open,18-05-2024 17:15:52
30.32144,open,18-05-2024 17:15:52
30.32144,open,18-05-2024 17:15:53
30.78955,open,18-05-2024 17:15:53
30.78955,open,18-05-2024 17:15:54
30.32144,open,18-05-2024 17:15:54
30.32144,open,18-05-2024 17:15:55
30.78955,open,18-05-2024 17:15:55
30.32144,open,18-05-2024 17:15:56
30.78955,open,18-05-2024 17:15:56
30.32144,open,18-05-2024 17:15:57
30.32144,open,18-05-2024 17:15:57
30.78955,open,18-05-2024 17:15:58
30.78955,open,18-05-2024 17:15:58
30.32144,open,18-05-2024 17:15:59
30.32144,open,18-05-2024 17:15:59
30.32144,open,18-05-2024 17:16:00
